09a18c lda $7ef3cc   [7ef3cc] A:0100 X:0010 Y:0000 S:01f2 D:0000 DB:09 nvMXdiZC V: 38 H:174 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01ca D:0000 DB:09 nvMXdIZc V: 39 H:252 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01ca D:0000 DB:09 nvMXdIZc V: 39 H:260 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01ca D:0000 DB:09 nvMXdIZc V: 39 H:265 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01c6 D:0000 DB:09 nvMXdIZc V: 39 H:281 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01c6 D:0000 DB:09 nvMXdIZc V: 39 H:289 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01c6 D:0000 DB:09 nvMXdIZc V: 39 H:294 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01c2 D:0000 DB:09 nvMXdIZc V: 39 H:310 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01c2 D:0000 DB:09 nvMXdIZc V: 39 H:318 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01c2 D:0000 DB:09 nvMXdIZc V: 39 H:323 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01be D:0000 DB:09 nvMXdIZc V: 39 H:338 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01be D:0000 DB:09 nvMXdIZc V: 40 H:  6 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01be D:0000 DB:09 nvMXdIZc V: 40 H: 11 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01ba D:0000 DB:09 nvMXdIZc V: 40 H: 27 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01ba D:0000 DB:09 nvMXdIZc V: 40 H: 35 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01ba D:0000 DB:09 nvMXdIZc V: 40 H: 40 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01b6 D:0000 DB:09 nvMXdIZc V: 40 H: 56 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01b6 D:0000 DB:09 nvMXdIZc V: 40 H: 64 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01b6 D:0000 DB:09 nvMXdIZc V: 40 H: 69 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01b2 D:0000 DB:09 nvMXdIZc V: 40 H: 85 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01b2 D:0000 DB:09 nvMXdIZc V: 40 H: 93 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01b2 D:0000 DB:09 nvMXdIZc V: 40 H: 98 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01ae D:0000 DB:09 nvMXdIZc V: 40 H:114 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01ae D:0000 DB:09 nvMXdIZc V: 40 H:122 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01ae D:0000 DB:09 nvMXdIZc V: 40 H:127 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01aa D:0000 DB:09 nvMXdIZc V: 40 H:153 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01aa D:0000 DB:09 nvMXdIZc V: 40 H:161 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01aa D:0000 DB:09 nvMXdIZc V: 40 H:166 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01a6 D:0000 DB:09 nvMXdIZc V: 40 H:182 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01a6 D:0000 DB:09 nvMXdIZc V: 40 H:190 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01a6 D:0000 DB:09 nvMXdIZc V: 40 H:195 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:01a2 D:0000 DB:09 nvMXdIZc V: 40 H:211 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:01a2 D:0000 DB:09 nvMXdIZc V: 40 H:219 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:01a2 D:0000 DB:09 nvMXdIZc V: 40 H:224 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:019e D:0000 DB:09 nvMXdIZc V: 40 H:240 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:019e D:0000 DB:09 nvMXdIZc V: 40 H:248 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:019e D:0000 DB:09 nvMXdIZc V: 40 H:253 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:019a D:0000 DB:09 nvMXdIZc V: 40 H:269 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:019a D:0000 DB:09 nvMXdIZc V: 40 H:277 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:019a D:0000 DB:09 nvMXdIZc V: 40 H:282 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:0196 D:0000 DB:09 nvMXdIZc V: 40 H:298 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:0196 D:0000 DB:09 nvMXdIZc V: 40 H:306 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:0196 D:0000 DB:09 nvMXdIZc V: 40 H:311 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:0192 D:0000 DB:09 nvMXdIZc V: 40 H:327 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:0192 D:0000 DB:09 nvMXdIZc V: 40 H:334 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:0192 D:0000 DB:09 nvMXdIZc V: 40 H:339 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:018e D:0000 DB:09 nvMXdIZc V: 41 H: 15 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:018e D:0000 DB:09 nvMXdIZc V: 41 H: 23 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:018e D:0000 DB:09 nvMXdIZc V: 41 H: 28 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:018a D:0000 DB:09 nvMXdIZc V: 41 H: 44 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:018a D:0000 DB:09 nvMXdIZc V: 41 H: 52 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:018a D:0000 DB:09 nvMXdIZc V: 41 H: 57 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:0186 D:0000 DB:09 nvMXdIZc V: 41 H: 73 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:0186 D:0000 DB:09 nvMXdIZc V: 41 H: 81 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:0186 D:0000 DB:09 nvMXdIZc V: 41 H: 86 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:0182 D:0000 DB:09 nvMXdIZc V: 41 H:102 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:0182 D:0000 DB:09 nvMXdIZc V: 41 H:110 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:0182 D:0000 DB:09 nvMXdIZc V: 41 H:115 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:017e D:0000 DB:09 nvMXdIZc V: 41 H:131 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:017e D:0000 DB:09 nvMXdIZc V: 41 H:149 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:017e D:0000 DB:09 nvMXdIZc V: 41 H:154 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:017a D:0000 DB:09 nvMXdIZc V: 41 H:170 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:017a D:0000 DB:09 nvMXdIZc V: 41 H:178 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:017a D:0000 DB:09 nvMXdIZc V: 41 H:183 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:0176 D:0000 DB:09 nvMXdIZc V: 41 H:199 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:0176 D:0000 DB:09 nvMXdIZc V: 41 H:207 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:0176 D:0000 DB:09 nvMXdIZc V: 41 H:212 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:0172 D:0000 DB:09 nvMXdIZc V: 41 H:228 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:0172 D:0000 DB:09 nvMXdIZc V: 41 H:236 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:0172 D:0000 DB:09 nvMXdIZc V: 41 H:241 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:016e D:0000 DB:09 nvMXdIZc V: 41 H:257 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:016e D:0000 DB:09 nvMXdIZc V: 41 H:265 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:016e D:0000 DB:09 nvMXdIZc V: 41 H:270 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:016a D:0000 DB:09 nvMXdIZc V: 41 H:286 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:016a D:0000 DB:09 nvMXdIZc V: 41 H:294 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:016a D:0000 DB:09 nvMXdIZc V: 41 H:299 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:0166 D:0000 DB:09 nvMXdIZc V: 41 H:315 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:0166 D:0000 DB:09 nvMXdIZc V: 41 H:323 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:0166 D:0000 DB:09 nvMXdIZc V: 41 H:327 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:0162 D:0000 DB:09 nvMXdIZc V: 42 H:  3 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:0162 D:0000 DB:09 nvMXdIZc V: 42 H: 11 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:0162 D:0000 DB:09 nvMXdIZc V: 42 H: 16 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:015e D:0000 DB:09 nvMXdIZc V: 42 H: 32 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:015e D:0000 DB:09 nvMXdIZc V: 42 H: 40 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:015e D:0000 DB:09 nvMXdIZc V: 42 H: 45 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:015a D:0000 DB:09 nvMXdIZc V: 42 H: 61 F: 8
000002 bra $ffdb     [ffffdb] A:0100 X:0020 Y:0000 S:015a D:0000 DB:09 nvMXdIZc V: 42 H: 69 F: 8
00ffdb brk #$f2               A:0100 X:0020 Y:0000 S:015a D:0000 DB:09 nvMXdIZc V: 42 H: 74 F: 8
00ffff brl $0002     [000002] A:0100 X:0020 Y:0000 S:0156 D:0000 DB:09 nvMXdIZc V: 42 H: 90 F: 8
