Executing from unexpected area: 0:82
read from address ff4210 PC=80dc
read from address ff012c PC=80df
read from address ff2140 PC=80e4
read from address ff0133 PC=80e7
read from address ff012d PC=8106
read from address ff2141 PC=810b
read from address ff0131 PC=810e
read from address ff012e PC=8121
read from address ff012f PC=8127
read from address ff0710 PC=89ea
read from address ff0ace PC=8a15
read from address ff0acf PC=8a15
read from address ff0ad2 PC=8a21
read from address ff0ad3 PC=8a21
read from address ff0ad6 PC=8a2a
read from address ff0ad7 PC=8a2a
read from address ff0acc PC=8a44
read from address ff0acd PC=8a44
read from address ff0ad0 PC=8a4d
read from address ff0ad1 PC=8a4d
read from address ff0ad4 PC=8a56
read from address ff0ad5 PC=8a56
read from address ff0ac0 PC=8a70
read from address ff0ac1 PC=8a70
read from address ff0ac4 PC=8a79
read from address ff0ac5 PC=8a79
read from address ff0ac8 PC=8a82
read from address ff0ac9 PC=8a82
read from address ff0ae0 PC=8a8b
read from address ff0ae1 PC=8a8b
read from address ff0ad8 PC=8a97
read from address ff0ad9 PC=8a97
read from address ff0ac2 PC=8aab
read from address ff0ac3 PC=8aab
read from address ff0ac6 PC=8ab4
read from address ff0ac7 PC=8ab4
read from address ff0aca PC=8abd
read from address ff0acb PC=8abd
read from address ff0ae2 PC=8ac6
read from address ff0ae3 PC=8ac6
read from address ff0ada PC=8ad2
read from address ff0adb PC=8ad2
read from address ff0aec PC=8ae4
read from address ff0aed PC=8ae4
read from address ff0af0 PC=8aed
read from address ff0af1 PC=8aed
read from address ff0aee PC=8b0a
read from address ff0aef PC=8b0a
read from address ff0af2 PC=8b13
read from address ff0af3 PC=8b13
read from address ff0af4 PC=8b28
read from address ff0adc PC=8b53
read from address ff0add PC=8b53
read from address ff0134 PC=8b59
read from address ff0135 PC=8b59
read from address ff93b0 PC=8bd6
read from address ff93b9 PC=8bdb
read from address ff93c2 PC=8be0
read from address ff1cb0 PC=ff88
read from address ff0000 PC=ff0001
read from address ff0001 PC=ff0002
